1284.45	670.469	2524.15
1284.95	671.02	2523.52
1282.74	670.391	2520.15
1280.15	669.521	2519.22
1280.96	669.139	2521.57
1281.63	668.596	2521.99
1280.34	667.446	2520.25
1278.6	666.346	2519.08
1277.61	667.069	2518.48
1275.89	667.304	2515.79
1275	666.721	2514.3
1274	666.599	2514.47
1275.07	667.683	2516.6
1276.14	668.511	2516.13
1275.27	668.413	2513.99
1274.19	668.66	2512.28
1271.68	668.034	2509.06
1268.09	667.378	2505.32
1268.6	667.657	2506.21
1269.43	668.122	2507.99
1268.09	668.092	2506.97
1265.83	667.446	2503.51
1265.54	666.621	2502.65
1265.11	665.075	2501.06
1265.81	664.541	2501.16
1266.93	663.887	2501.76
1265.47	663.136	2499.59
1263.69	663.707	2499.77
1263.05	664.884	2500.53
1261.77	664.595	2498.43
1261.89	662.942	2498.19
1262.2	661.842	2499.39
1262.09	662.372	2499.83
1261.79	662.324	2499.02
1261.8	662.694	2498.72
1261.77	663.477	2498.15
1260	663.462	2495.73
1257.63	663.161	2493.61
1257.67	662.556	2494.1
1257.68	663.191	2495.48
1257.4	663.065	2496.05
1256.84	660.869	2494.84
1257.02	661.315	2494.67
1257.37	663.167	2495.58
1254.82	662.546	2492.95
1250.87	661.034	2487.7
1251.67	662.944	2488.21
1252.83	665.764	2488.65
1251.1	663.949	2486.08
1248.73	661.848	2483.94
1249.24	661.725	2484.95
1249.91	660.163	2484.92
1250.36	659.782	2484.9
1251.11	660.512	2486.06
1249.26	660.773	2484.09
1246.23	660.996	2479.39
1244.95	661.121	2477.12
1243.29	661.517	2475.51
1243.39	662.043	2475.84
1243.59	662.706	2476.54
1243.04	662.336	2476.22
1242.08	661.358	2474.62
1242.47	661.132	2474.75
1243.17	661.288	2476.03
1244.1	661.611	2477.43
1245.32	661.644	2478.13
1242.75	661.378	2474.65
1238.89	660.914	2469.3
1238.71	660.416	2468.53
1238.81	659.976	2469.97
1239.43	660.002	2471.56
1240.05	660.018	2472.06
1239.77	660.838	2471.56
1239.34	661.829	2470.62
1237.75	660.893	2468.49
1235.4	659.804	2465.65
1235.59	659.821	2465.82
1235.4	659.023	2462.41
1233.79	658.937	2458.42
1231.94	659.604	2456.41
1232.63	660.495	2457.31
1234.06	661.929	2461.21
1235.3	661.606	2464.19
1236.91	661.122	2466.96
1234.92	659.951	2465.25
1232.1	658.729	2464.04
1231.52	659.557	2464.73
1229.99	659.792	2460.97
1231.13	660.121	2460.98
1232.89	660.269	2461.11
1230.72	659.459	2457.31
1228.03	659.859	2456.2
1228.43	660.94	2458.01
1228.17	660.604	2453.95
1226.52	659.033	2449.55
1224.83	657.342	2448.39
1224.57	656.784	2448.62
1223.68	656.695	2446.17
1223.32	658.538	2444.81
1223.08	660.54	2444.11
1223.36	660.423	2444.17
1223.48	660.63	2442.66
1223.07	659.838	2441.09
1223.25	658.554	2443.78
1221.64	658.117	2443.55
1218.32	657.538	2437.26
1217.73	657.338	2434.96
1217.38	656.694	2434.66
1218	656.885	2435.46
1218.31	656.999	2432.41
1217.42	656.44	2429.11
1216.28	654.96	2425.05
1214.89	653.991	2421.61
1213.39	653.541	2420.92
1213.53	654.197	2421.75
1213.54	655.853	2422.21
1214.12	656.753	2423.18
1214.73	658.116	2423
1213.41	658.126	2420.9
1211.52	657.046	2417.47
1210.98	655.238	2416.05
1210.12	653.934	2414.51
1209.17	655.709	2413.02
1207.89	657.214	2410.96
1209.64	657.414	2412.6
1212.08	657.429	2413.6
1208.67	656.566	2408.45
1203.82	656.108	2402.93
1206.33	657.644	2405.88
1210.11	659.592	2409.98
1208.34	658.85	2407.78
1205.48	656.848	2402.46
1205.16	656.461	2400.74
1204.56	657.183	2398.14
