43113.3	-0.56529	0.0336174	-0.35751	786.123	847.094	2129.94	
43116.7	-0.564625	0.0318165	-0.368538	833.954	898.011	2260.31	
43121.7	-0.564426	0.0311615	-0.373192	851.377	916.57	2308.2	
43125	-0.564326	0.030802	-0.375672	860.134	925.968	2332.93	
43130	-0.564228	0.0302396	-0.377659	865.167	931.53	2347.96	
43133.3	-0.564114	0.0295707	-0.379383	868.414	935.34	2358.09	
43138.3	-0.564078	0.0293153	-0.381058	870.54	938.031	2365.32	
43141.7	-0.56404	0.0294107	-0.38273	872.109	939.981	2370.9	
43146.7	-0.563894	0.0297771	-0.383939	873.304	941.467	2375.31	
43150	-0.563685	0.0300196	-0.384502	874.254	942.69	2378.86	
43155	-0.563492	0.0302227	-0.384897	874.989	943.685	2381.76	
43158.3	-0.563384	0.030587	-0.385272	875.577	944.531	2384.18	
43163.3	-0.563309	0.0311053	-0.385435	876.049	945.267	2386.19	
43166.7	-0.563238	0.031681	-0.385712	876.295	945.836	2387.7	
43171.7	-0.563098	0.0319971	-0.386229	876.296	946.206	2388.74	
43175	-0.562945	0.0320836	-0.386497	876.336	946.514	2389.69	
43180	-0.56281	0.032295	-0.386408	876.404	946.844	2390.67	
43183.3	-0.562691	0.0327763	-0.38645	876.415	947.175	2391.57	
43188.3	-0.562619	0.033516	-0.386657	876.361	947.434	2392.27	
43191.7	-0.562553	0.0340687	-0.38675	876.26	947.607	2392.79	
43196.7	-0.56254	0.0345579	-0.386968	876.074	947.726	2393.26	
43200	-0.562558	0.0351124	-0.38726	875.886	947.815	2393.76	
43205	-0.562548	0.0355584	-0.387389	875.714	947.828	2394.16	
43208.3	-0.562482	0.035838	-0.387561	875.52	947.79	2394.45	
43213.3	-0.562301	0.0358141	-0.387801	875.294	947.701	2394.62	
43216.7	-0.562124	0.0358892	-0.38803	875.052	947.612	2394.75	
43221.7	-0.562015	0.0362023	-0.388304	874.773	947.501	2394.8	
43225	-0.56197	0.0364632	-0.388529	874.512	947.349	2394.85	
43230	-0.561966	0.0366681	-0.388611	874.269	947.195	2394.98	
43233.3	-0.561871	0.0366997	-0.388773	874.029	947.059	2395.14	
43238.3	-0.561693	0.0365829	-0.389195	873.775	946.92	2395.23	
43241.7	-0.561593	0.0366465	-0.389421	873.476	946.807	2395.2	
43246.7	-0.56157	0.037037	-0.389385	873.097	946.744	2395.1	
43250	-0.561543	0.0375225	-0.389429	872.703	946.695	2395	
43255	-0.561522	0.0380503	-0.389459	872.29	946.635	2394.93	
43258.3	-0.561509	0.0385675	-0.389428	871.889	946.56	2394.91	
43263.3	-0.561455	0.0390367	-0.389228	871.496	946.49	2394.93	
43266.7	-0.561371	0.0393815	-0.389007	871.104	946.408	2394.96	
43271.7	-0.561309	0.0396662	-0.388954	870.682	946.28	2394.93	
43275	-0.561241	0.0400341	-0.388933	870.263	946.182	2394.89	
43280	-0.561127	0.0403406	-0.388835	869.856	946.099	2394.76	
