851.45mm -48.93mm 2694.68mm
771.68mm -62.7mm 2529.06mm
770.61mm -64.14mm 2526.89mm
768.98mm -66.26mm 2524.76mm
768.72mm -66.25mm 2524.78mm
768.53mm -65.98mm 2519.99mm
768.48mm -65.32mm 2516.98mm
768.3mm -64.24mm 2515.54mm
769.04mm -64.8mm 2515.81mm
769.98mm -66.15mm 2520.24mm
768.16mm -66.2mm 2519.46mm
765.62mm -65.52mm 2514.24mm
765.87mm -65.14mm 2513.8mm
766.32mm -64.66mm 2511.57mm
765.2mm -63.58mm 2507.96mm
763.56mm -61.93mm 2501.6mm
763.96mm -61.39mm 2499.63mm
764.53mm -60.43mm 2497.17mm
763.93mm -60.79mm 2493.93mm
762.83mm -61.92mm 2493.73mm
761.56mm -61.48mm 2492.87mm
759.79mm -61.07mm 2488.43mm
760.17mm -61.07mm 2487.86mm
760.88mm -60.07mm 2483.93mm
760.26mm -59.99mm 2479.58mm
758.98mm -61.58mm 2480.38mm
759.15mm -62.2mm 2482.54mm
759.63mm -61.12mm 2482mm
760.12mm -60.96mm 2481.87mm
760.89mm -61.62mm 2480.84mm
759.74mm -61.74mm 2477.61mm
758.04mm -61.3mm 2472.56mm
757.81mm -61.02mm 2470.58mm
757.49mm -61.16mm 2466.69mm
756.43mm -59.66mm 2462.94mm
754.68mm -57.29mm 2461.02mm
755.12mm -58.86mm 2461.95mm
756mm -61.32mm 2458.3mm
755.39mm -60.56mm 2454.24mm
754.32mm -59.71mm 2451.37mm
754.15mm -59.8mm 2450.22mm
753.91mm -59.31mm 2448.65mm
753.78mm -58.89mm 2447.66mm
753.6mm -58.05mm 2445.88mm
752.83mm -58.1mm 2443.67mm
751.74mm -59.39mm 2438.77mm
751.67mm -59.59mm 2436.56mm
751.57mm -58.64mm 2433.54mm
751.2mm -58.03mm 2431.07mm
750.61mm -57.35mm 2428.13mm
751.13mm -57.6mm 2427.51mm
752mm -58.04mm 2424.81mm
751.41mm -57.82mm 2421.28mm
750.31mm -58.38mm 2420.36mm
749.76mm -58.78mm 2420.03mm
749.04mm -58.62mm 2417.54mm
747.78mm -58.01mm 2414.75mm
745.99mm -57.25mm 2408.72mm
746.27mm -57.11mm 2406.89mm
746.65mm -56.28mm 2404.94mm
746.98mm -55.7mm 2403.75mm
747.45mm -54.76mm 2402.38mm
746.32mm -54.21mm 2399.27mm
744.41mm -55.33mm 2397.9mm
744.04mm -55.99mm 2398.34mm
743.79mm -54.78mm 2394.02mm
743.69mm -54.06mm 2391.24mm
743.37mm -54.39mm 2390.05mm
743.01mm -54.42mm 2389.06mm
742.45mm -54.87mm 2387.6mm
741.72mm -55.82mm 2386.01mm
740.82mm -55.6mm 2380.58mm
740.68mm -54.98mm 2377.71mm
740.41mm -54.04mm 2374.71mm
740.73mm -53.3mm 2373.48mm
741.15mm -52.86mm 2372.59mm
740.78mm -52.79mm 2371mm
740.3mm -53.16mm 2366.85mm
739.59mm -52.95mm 2363.53mm
738.44mm -52.28mm 2360.04mm
737.72mm -52.54mm 2357.74mm
736.63mm -53.19mm 2354.64mm
736.64mm -52.88mm 2353.74mm
736.73mm -51.74mm 2351.11mm
737.06mm -51.75mm 2349.69mm
737.6mm -51.36mm 2346.88mm
737.04mm -49.95mm 2343.74mm
736.03mm -48.98mm 2341.51mm
735.7mm -49.5mm 2340.44mm
735.22mm -50.95mm 2338.44mm
734.94mm -51.47mm 2337.21mm
734.75mm -49.44mm 2332.52mm
733.75mm -47.49mm 2328.14mm
732.14mm -46.96mm 2322.39mm
732.27mm -47.37mm 2320.24mm
732.21mm -47.69mm 2321.33mm
731.85mm -47.74mm 2321.59mm
731.58mm -47.52mm 2317.39mm
731.84mm -47.45mm 2315.23mm
732.18mm -46.84mm 2313.1mm
731.31mm -46.21mm 2310.08mm
729.99mm -45.77mm 2305.72mm
730.11mm -46.02mm 2304.25mm
730.17mm -46.55mm 2304.01mm
729.58mm -46.48mm 2302.96mm
728.85mm -46.37mm 2298.75mm
729.08mm -46.44mm 2296.99mm
729.4mm -46.1mm 2294.86mm
729.26mm -45.49mm 2292.97mm
729.1mm -44.5mm 2289.48mm
728.36mm -44.42mm 2286.19mm
727.22mm -44.18mm 2281.81mm
727.08mm -43.55mm 2279.83mm
726.83mm -42.71mm 2277.5mm
726.73mm -42.21mm 2276.04mm
726.52mm -41.66mm 2274.7mm
726.16mm -41.5mm 2273.45mm
725.7mm -41.47mm 2269.93mm
726.41mm -41.67mm 2269.01mm
727.51mm -41.45mm 2266.89mm
726.97mm -40.64mm 2263.69mm
726.04mm -39.91mm 2260.35mm
725.73mm -39.51mm 2258.56mm
725.32mm -38.72mm 2255.21mm
725.33mm -38.47mm 2253.38mm
725.41mm -38.13mm 2249.62mm
724.91mm -37.94mm 2246.33mm
724.04mm -37.39mm 2243.5mm
723.81mm -37.11mm 2242.1mm
723.58mm -36.93mm 2238.17mm
723.91mm -36.54mm 2236.27mm
724.34mm -35.87mm 2234.28mm
724.04mm -35.17mm 2232.14mm
723.66mm -34.16mm 2227.74mm
723.72mm -34.07mm 2225.2mm
723.65mm -34.55mm 2223.48mm
