851.45mm -48.93mm 2694.68mm
929.65mm 14.13mm 1534.09mm
931.17mm 14.4mm 1536.66mm
933.37mm 15.51mm 1537.74mm
934.23mm 16.29mm 1537.95mm
935.62mm 16.08mm 1541.97mm
936.78mm 16.37mm 1544.87mm
938.55mm 17.7mm 1548.79mm
938.96mm 18.49mm 1550.75mm
939.52mm 19.3mm 1552.84mm
939.48mm 20.06mm 1553.88mm
939.47mm 21.53mm 1556.27mm
940.01mm 22.18mm 1558.32mm
940.82mm 22.5mm 1561.61mm
941.61mm 22.73mm 1564.03mm
942.8mm 23.87mm 1566.62mm
943.58mm 24.46mm 1568.34mm
944.95mm 24.73mm 1575.34mm
945.74mm 25.61mm 1579.93mm
946.69mm 27.24mm 1581.89mm
947.44mm 27.66mm 1583.28mm
948.71mm 27.8mm 1588.26mm
948.76mm 28.63mm 1590.93mm
948.82mm 30.16mm 1594.56mm
949.88mm 30.2mm 1597.85mm
951.49mm 29.47mm 1603.57mm
951.45mm 29.65mm 1606.43mm
951.3mm 31.14mm 1607.92mm
952.87mm 31.87mm 1610.38mm
955.48mm 32.35mm 1618.94mm
955.59mm 32.99mm 1623.23mm
955.61mm 34.24mm 1626.8mm
956.46mm 34.5mm 1629.91mm
957.83mm 34.71mm 1636.3mm
958.47mm 35.17mm 1640.34mm
959.33mm 35.6mm 1644.98mm
959.99mm 35.68mm 1648.15mm
960.99mm 35.69mm 1653.07mm
961.8mm 35.99mm 1656.49mm
963.11mm 37.12mm 1662.85mm
963.54mm 38.11mm 1666.71mm
964.12mm 37.84mm 1672.22mm
964.48mm 37.72mm 1675.87mm
965.01mm 39.35mm 1679.73mm
965.73mm 39.57mm 1682.62mm
966.91mm 39.67mm 1688.81mm
967.58mm 40.36mm 1692.86mm
968.53mm 40.58mm 1698.56mm
969.3mm 40.83mm 1702.48mm
970.4mm 42.54mm 1706.74mm
970.49mm 43.49mm 1708.97mm
970.62mm 43.97mm 1712.87mm
971.59mm 44.03mm 1716.28mm
973.14mm 44.1mm 1723.02mm
974.27mm 44.56mm 1727.63mm
975.89mm 45.8mm 1732.9mm
975.87mm 46.71mm 1735.39mm
975.87mm 47.73mm 1739.76mm
977.07mm 47.74mm 1743.79mm
978.77mm 47.12mm 1748.5mm
979.07mm 47.04mm 1750.86mm
979.74mm 47.64mm 1757.44mm
980.59mm 47.82mm 1762.21mm
981.55mm 48.29mm 1764.24mm
981.87mm 49.08mm 1765.3mm
982.47mm 49.91mm 1768.85mm
982.71mm 50.24mm 1771.06mm
983.11mm 50.91mm 1774.99mm
984.11mm 51.06mm 1778.3mm
985.4mm 51.32mm 1779.89mm
985.46mm 51.44mm 1780.19mm
985.66mm 51.31mm 1782.33mm
986.09mm 51.64mm 1784.05mm
986.71mm 53.19mm 1785.9mm
987.39mm 53.87mm 1787.38mm
988.53mm 53.72mm 1791.98mm
989.25mm 53.82mm 1795.02mm
990.12mm 54.41mm 1796.25mm
990.33mm 54.71mm 1796.69mm
990.71mm 55.65mm 1798.43mm
992.1mm 55.65mm 1800.66mm
994.19mm 54.59mm 1804.5mm
994.36mm 54.52mm 1805.89mm
994.34mm 54.75mm 1803.99mm
994.26mm 55.24mm 1802.66mm
994.44mm 57.16mm 1804.34mm
995.29mm 58.3mm 1806.16mm
996.75mm 58.84mm 1811.81mm
997.82mm 58.52mm 1815.67mm
999.19mm 58.34mm 1817.83mm
999.33mm 58.63mm 1818.53mm
999.5mm 58.77mm 1819.22mm
999.86mm 58.54mm 1819.91mm
1000.32mm 58.29mm 1819.75mm
1000.75mm 58.64mm 1819.79mm
1001.64mm 59.32mm 1823.11mm
1002.15mm 59.6mm 1825.23mm
1002.71mm 60.16mm 1825.7mm
1003.06mm 60.55mm 1825.98mm
1003.86mm 60.48mm 1830.49mm
1004.45mm 59.96mm 1833.55mm
1005.27mm 59.75mm 1837.07mm
1005.38mm 60.43mm 1839.01mm
1005.43mm 61.8mm 1840.15mm
1005.77mm 63.23mm 1841.22mm
1006.4mm 64.11mm 1845.23mm
1007.73mm 63.12mm 1848.76mm
1009.74mm 62.71mm 1853.82mm
1009.83mm 62.94mm 1855.99mm
1009.85mm 62.58mm 1857.87mm
1009.91mm 62.26mm 1859.17mm
1010.37mm 61.19mm 1866.2mm
1010.58mm 60.94mm 1870.82mm
1010.76mm 61.38mm 1875.54mm
1011.38mm 60.65mm 1879.17mm
1012.36mm 59.84mm 1885.08mm
1012.53mm 60.5mm 1888.59mm
1012.85mm 60.35mm 1895.11mm
1012.9mm 59.68mm 1899.29mm
1012.78mm 58.52mm 1903.1mm
1012.96mm 57.69mm 1905.9mm
1013.59mm 56.41mm 1914.92mm
1014.31mm 55.37mm 1921.26mm
1015.22mm 54.83mm 1928.28mm
1014.63mm 54.71mm 1931.75mm
1013.7mm 54.1mm 1936.68mm
1012.97mm 53.78mm 1939.87mm
1012.05mm 52.38mm 1947.32mm
1013.08mm 51.06mm 1954mm
1014.51mm 50.14mm 1961.88mm
1014.98mm 49.69mm 1966.66mm
1015.87mm 48.12mm 1976.55mm
1015.62mm 47.37mm 1982.29mm
1015.09mm 46.94mm 1988.75mm
1014.94mm 46.33mm 1993.27mm
1014.88mm 44.59mm 2002.62mm
1015.57mm 43.14mm 2009.65mm
1016.43mm 41.52mm 2017.53mm
1015.1mm 40.99mm 2020.78mm
1013.27mm 40.38mm 2028.01mm
1013.36mm 39.93mm 2034.25mm
1013.53mm 38.76mm 2044.35mm
1013.7mm 37.59mm 2051.18mm
1013.75mm 35.8mm 2058.3mm
1013.85mm 35.07mm 2063.16mm
1014.15mm 33.58mm 2072.57mm
1014.66mm 31.91mm 2079.2mm
1015.31mm 30.01mm 2087.19mm
1014.27mm 29.19mm 2090.92mm
1012.96mm 28.29mm 2100.22mm
1012.26mm 27.87mm 2106.64mm
1011.09mm 26.03mm 2115.07mm
1011.16mm 24.95mm 2121.66mm
1011.1mm 24.17mm 2128.91mm
1011.71mm 22.8mm 2134.47mm
1012.74mm 20.8mm 2144.48mm
1012.34mm 19.87mm 2149.96mm
1011.73mm 18.13mm 2158.11mm
1011.22mm 17.09mm 2163.45mm
1010.38mm 15.34mm 2170.45mm
1010.3mm 13.94mm 2175.69mm
1010.32mm 12.64mm 2185.18mm
1010.79mm 11.61mm 2192.08mm
1011.6mm 9.6mm 2203.92mm
1011.76mm 8.57mm 2211.43mm
1011.84mm 7.15mm 2220.03mm
1012.09mm 5.98mm 2226.02mm
1012.27mm 4.44mm 2231.79mm
1011.84mm 3.52mm 2234.98mm
1011.67mm 1.95mm 2247.53mm
1011.04mm 1.49mm 2255.33mm
1009.87mm 0.66mm 2263.72mm
1010.24mm -0.74mm 2270.7mm
1010.71mm -2.75mm 2279.72mm
1010.55mm -3.54mm 2285.21mm
1010.29mm -4.65mm 2292.97mm
1010.12mm -6.26mm 2298.13mm
1009.78mm -8.12mm 2304.28mm
1010.16mm -8.48mm 2309.17mm
1010.73mm -10.03mm 2317.07mm
1009.97mm -11.03mm 2320.93mm
1009.18mm -12.12mm 2332.43mm
1007.89mm -13.16mm 2339.15mm
1005.6mm -14.22mm 2343.38mm
1006.37mm -15.19mm 2349.07mm
1007.54mm -17.21mm 2358.02mm
1007.11mm -18.18mm 2362.5mm
1006.38mm -19.57mm 2367.82mm
1007.47mm -21.1mm 2373.34mm
1009.37mm -23.16mm 2385.9mm
1008.94mm -23.74mm 2392.2mm
1007.92mm -24.5mm 2395.21mm
1007.8mm -25.03mm 2397.94mm
1007.92mm -26.32mm 2407.46mm
1007.46mm -28.27mm 2413.07mm
1006.63mm -30.75mm 2419.23mm
1008.14mm -31.59mm 2426.07mm
1010.31mm -33.05mm 2434.76mm
1009.31mm -34.04mm 2437.37mm
1007.98mm -34.83mm 2443.96mm
1006.98mm -35.25mm 2448.23mm
1005.37mm -36.68mm 2453.03mm
1005.36mm -37.91mm 2457.63mm
1005.41mm -39.55mm 2465.52mm
1005.09mm -40.62mm 2470.35mm
1004.58mm -43.23mm 2477.59mm
1004.59mm -44.67mm 2482.9mm
1004.69mm -45.75mm 2492.02mm
1005.51mm -46.61mm 2499.13mm
1006.56mm -48.27mm 2506.49mm
1005.28mm -50.13mm 2508.72mm
1003.54mm -51.23mm 2514.2mm
1003.88mm -50.55mm 2519.97mm
1004.53mm -51.1mm 2532.22mm
1003.86mm -52.7mm 2538.82mm
1002.45mm -54.93mm 2541.31mm
1003.14mm -56mm 2545.24mm
1004.15mm -56.97mm 2550.48mm
1003.67mm -57.52mm 2552.38mm
1003.28mm -59.71mm 2562.52mm
1004.3mm -61.58mm 2571.06mm
1005.5mm -63.79mm 2577.57mm
1002.46mm -64.78mm 2576.6mm
997.96mm -66.54mm 2576.38mm
998.88mm -67.88mm 2581.69mm
1000.5mm -68.64mm 2593.43mm
1000.19mm -68.53mm 2599.39mm
999.43mm -69.24mm 2602.93mm
999.38mm -70.47mm 2605.88mm
999.43mm -72.2mm 2612.91mm
998.66mm -73.23mm 2616.49mm
997.49mm -75.44mm 2621.77mm
997.02mm -76.72mm 2625.76mm
996.41mm -76.81mm 2632.48mm
996.45mm -76.91mm 2637.59mm
996.51mm -79.64mm 2646.81mm
996.39mm -81.32mm 2652.75mm
995.91mm -81.83mm 2654.65mm
994.46mm -81.82mm 2654.3mm
992.64mm -84.15mm 2662.57mm
992.84mm -86.65mm 2670.11mm
992.9mm -86.94mm 2673.78mm
992.68mm -86.49mm 2675.9mm
992.56mm -86.68mm 2683.8mm
992.24mm -86.71mm 2688.74mm
991.82mm -87.93mm 2698.11mm
992.7mm -90.08mm 2706mm
993.96mm -94.36mm 2717mm
994.18mm -95.6mm 2723.56mm
994.54mm -95.71mm 2732.79mm
995.09mm -96.85mm 2739.37mm
995.57mm -98.37mm 2741.6mm
993.9mm -98.65mm 2740.19mm
991.78mm -100.1mm 2746.95mm
988.16mm -98.98mm 2748.32mm
982.68mm -97.12mm 2749.25mm
985.63mm -100.85mm 2759.5mm
989.72mm -105.54mm 2766.2mm
990.24mm -105.42mm 2767.57mm
991.38mm -106.39mm 2778.5mm
991.17mm -107.98mm 2784.3mm
990.77mm -109.26mm 2790.09mm
990.9mm -110.52mm 2794.54mm
991.22mm -112.74mm 2804.12mm
988.36mm -112.14mm 2805.98mm
984.24mm -111.21mm 2812.81mm
986.51mm -113.36mm 2824.9mm
989.44mm -117.64mm 2832.16mm
988.22mm -118.41mm 2832.27mm
986.46mm -119.68mm 2834.26mm
987.64mm -121.27mm 2839.15mm
989.6mm -121.39mm 2848.79mm
987.87mm -121.19mm 2850.52mm
985.23mm -122.99mm 2854mm
985.27mm -124.48mm 2859.11mm
985.39mm -126.12mm 2867.79mm
984.84mm -126.86mm 2872.62mm
984.04mm -126.81mm 2879.36mm
983.13mm -126.81mm 2883.28mm
981.54mm -128.04mm 2884.85mm
982.5mm -129.89mm 2889.02mm
984.12mm -133.4mm 2900.05mm
982.45mm -134.8mm 2903.14mm
979.92mm -135.85mm 2906.24mm
980.88mm -137.67mm 2912.47mm
982.19mm -140.8mm 2918.72mm
982.5mm -141.4mm 2922.09mm
983.23mm -142.12mm 2933.18mm
983.95mm -143.84mm 2940.9mm
984.7mm -145.67mm 2944.13mm
982.34mm -144.88mm 2941.8mm
979.11mm -144.29mm 2946.36mm
979.79mm -145.84mm 2953.87mm
980.66mm -146.54mm 2959.57mm
978.97mm -144.39mm 2959.89mm
976.71mm -143.36mm 2969.5mm
976.99mm -145.25mm 2978.68mm
977.31mm -147.29mm 2989mm
977.92mm -149.41mm 2996.51mm
978.54mm -152.98mm 3000.25mm
979.15mm -154.71mm 3003.13mm
980.2mm -157.49mm 3010.95mm
980.54mm -158.63mm 3015.64mm
981.01mm -159.39mm 3020.57mm
981.79mm -160.53mm 3024.6mm
983.17mm -164.31mm 3037.82mm
981.58mm -165.46mm 3042.56mm
978.86mm -163.95mm 3038.61mm
977.77mm -163.47mm 3037.13mm
976.3mm -164.29mm 3041.17mm
976.21mm -165.27mm 3045.33mm
976.11mm -167.53mm 3053.25mm
976.38mm -169.8mm 3059.07mm
976.83mm -172.43mm 3068.15mm
976.66mm -173.92mm 3073.43mm
976.17mm -177.21mm 3076.77mm
976.35mm -179.32mm 3079.88mm
976.9mm -180.16mm 3089.17mm
977.58mm -180.96mm 3095.87mm
978.52mm -183.8mm 3105.26mm
977.66mm -184.66mm 3109.09mm
976.18mm -185.48mm 3109.47mm
976.23mm -184.74mm 3111.62mm
976.42mm -183.73mm 3117.78mm
976.02mm -186.33mm 3120.74mm
975.28mm -190.24mm 3121.32mm
975.72mm -192.36mm 3123.35mm
976.82mm -196.23mm 3138.95mm
974.19mm -196.41mm 3143.79mm
969.97mm -195.34mm 3142.16mm
969.72mm -193.94mm 3145.62mm
969.09mm -192.32mm 3144.25mm
969.68mm -195.1mm 3144.77mm
970.87mm -200.42mm 3154.93mm
970.85mm -202.35mm 3160.45mm
970.84mm -203.05mm 3166.92mm
972.25mm -203.48mm 3173.73mm
974.26mm -205.6mm 3182.34mm
972.22mm -206.34mm 3182.19mm
969.15mm -207.55mm 3181.81mm
969.2mm -209.77mm 3185.14mm
969.26mm -212.74mm 3189.12mm
968.48mm -213.21mm 3190.47mm
967.34mm -212.61mm 3191.86mm
966.88mm -212.87mm 3193.26mm
966.01mm -215.64mm 3192.77mm
965.97mm -218.05mm 3193.33mm
966.2mm -220.2mm 3200.62mm
966.05mm -222.1mm 3204.9mm
965.6mm -225.82mm 3205.85mm
965.85mm -226.63mm 3207.63mm
966.35mm -227.89mm 3214.05mm
966.4mm -228.48mm 3217.84mm
966.69mm -229.81mm 3230.16mm
967.43mm -231.85mm 3239.29mm
968.11mm -231.78mm 3237.11mm
967.14mm -233.01mm 3232.97mm
965.75mm -239.29mm 3234.69mm
966.01mm -242.83mm 3238.04mm
966.57mm -241.88mm 3238.84mm
965.58mm -239.73mm 3237.02mm
964.01mm -241.8mm 3238.33mm
962.54mm -242.58mm 3238.46mm
960.47mm -244.89mm 3244.7mm
960.87mm -249.89mm 3251.81mm
961.35mm -253.05mm 3252.81mm
960.13mm -252.34mm 3250.92mm
958.5mm -254.17mm 3258.02mm
958.89mm -256.68mm 3265.33mm
958.99mm -258.84mm 3259.6mm
957.06mm -259.19mm 3252.25mm
954.4mm -259.3mm 3246.79mm
954.45mm -259.84mm 3246.44mm
954.75mm -261.46mm 3253.34mm
956.67mm -263.96mm 3260.97mm
959.23mm -266.49mm 3261.15mm
958.93mm -267.36mm 3257.65mm
958.83mm -270.29mm 3265.64mm
959.27mm -271.71mm 3271.95mm
959.7mm -273.22mm 3273.71mm
956.94mm -274.06mm 3269.32mm
952.94mm -276.68mm 3268.79mm
950.88mm -277.56mm 3269.63mm
947.75mm -274.64mm 3262.39mm
949.5mm -273.94mm 3264.49mm
951.98mm -278.19mm 3270.3mm
952.9mm -281.92mm 3272.71mm
954.6mm -284.73mm 3281.22mm
953.09mm -286.35mm 3282.03mm
950.56mm -289.98mm 3276.74mm
949.81mm -291.72mm 3275.02mm
948.7mm -292.66mm 3269.96mm
948.95mm -293.92mm 3268.36mm
949.57mm -298.12mm 3277.34mm
949.22mm -297.9mm 3282.27mm
948.34mm -295.6mm 3275.77mm
948.29mm -299.98mm 3271.91mm
948.44mm -307.62mm 3275.01mm
947.24mm -307.55mm 3275.23mm
945.42mm -306.72mm 3273.83mm
946.44mm -309.09mm 3276.72mm
947.85mm -313.37mm 3278.31mm
944.7mm -314.5mm 3272mm
940.09mm -313.37mm 3260.45mm
943.01mm -313.01mm 3263.82mm
947.4mm -316.72mm 3275.5mm
945.61mm -319.52mm 3274.52mm
942.87mm -322.69mm 3269.09mm
942.33mm -324.63mm 3267.87mm
941.69mm -325.56mm 3267.84mm
940.42mm -325.8mm 3266.28mm
938.43mm -328.65mm 3266.12mm
937.59mm -329.94mm 3266.96mm
936.24mm -330.03mm 3261.89mm
935.29mm -332.19mm 3258.2mm
933.99mm -336.2mm 3258.53mm
936.34mm -341.28mm 3264.43mm
939.64mm -348.04mm 3263.87mm
939.57mm -348.96mm 3259.73mm
939.65mm -350.76mm 3260.55mm
939.18mm -352.68mm 3260.02mm
938.4mm -357.02mm 3259.63mm
936.53mm -356.81mm 3257.24mm
933.58mm -354.18mm 3244.46mm
934.44mm -355.98mm 3240.79mm
936.02mm -359.44mm 3246.36mm
934.89mm -360.63mm 3246.14mm
933.16mm -363.75mm 3247.66mm
934.21mm -367.15mm 3252.63mm
935.57mm -369.9mm 3247.92mm
933.93mm -370.12mm 3240.26mm
931.57mm -373.18mm 3237.29mm
930.47mm -375.17mm 3236.18mm
928.83mm -378.31mm 3235.17mm
928.62mm -382.12mm 3235.94mm
928.43mm -385.63mm 3235.84mm
927.61mm -385.79mm 3234.73mm
926.29mm -386.4mm 3230.94mm
923.91mm -387.05mm 3225.6mm
920.31mm -388.48mm 3217.35mm
920.8mm -391.33mm 3217.02mm
921.54mm -394.13mm 3212.45mm
922.86mm -394.86mm 3211.09mm
924.94mm -398.05mm 3217.24mm
923.64mm -399.39mm 3216.46mm
921.68mm -400.39mm 3212.97mm
921.23mm -400.88mm 3212.23mm
920.39mm -400.9mm 3204.49mm
919.41mm -403.24mm 3198.33mm
918.02mm -406.51mm 3190.96mm
920.39mm -408.55mm 3192.12mm
923.8mm -414.04mm 3195.24mm
922.52mm -417.9mm 3190.77mm
920.94mm -421.99mm 3190.34mm
920.56mm -423.45mm 3191.4mm
919.89mm -425.21mm 3188.87mm
920.72mm -427.15mm 3189.43mm
921.79mm -432.54mm 3190.34mm
921.3mm -435.63mm 3188.8mm
920.74mm -438.08mm 3186.31mm
919.75mm -439.39mm 3183.54mm
918.07mm -442.07mm 3174.96mm
915.17mm -442.5mm 3166.14mm
910.81mm -443.53mm 3153.4mm
910.93mm -445.9mm 3150.22mm
911.41mm -447.85mm 3150.76mm
910.83mm -447.83mm 3149.61mm
909.83mm -448.33mm 3145.25mm
909.59mm -450.35mm 3142.92mm
909.12mm -453.34mm 3136.02mm
908.89mm -455.57mm 3131.58mm
908.79mm -459.9mm 3134.61mm
908.37mm -462.74mm 3136mm
907.43mm -465.88mm 3124.8mm
906.56mm -466.56mm 3117.09mm
905.33mm -469.07mm 3112.4mm
905.21mm -471.51mm 3110.44mm
905.14mm -473.16mm 3105.06mm
903.16mm -473.6mm 3098.05mm
900.1mm -476.24mm 3090.28mm
900.17mm -479.89mm 3088.71mm
900.37mm -484.34mm 3085.88mm
899.15mm -486.32mm 3081.66mm
897.28mm -488.8mm 3072.58mm
897.63mm -489.15mm 3069.54mm
898.38mm -492mm 3078.95mm
897.13mm -494.95mm 3081.98mm
894.8mm -494.94mm 3058.82mm
893.7mm -493.64mm 3044.44mm
892.52mm -493.93mm 3043.17mm
892.94mm -496.48mm 3044.25mm
893.29mm -501.94mm 3043.01mm
891.77mm -503.38mm 3039.26mm
889.69mm -504.36mm 3036.15mm
889.53mm -506.75mm 3036.08mm
889.09mm -509.59mm 3028.04mm
888.09mm -510.52mm 3021.53mm
886.52mm -511.36mm 3008.19mm
887.96mm -515.46mm 3003.38mm
890.43mm -523.75mm 3011.67mm
890.6mm -526.65mm 3014.86mm
890.58mm -529.81mm 3007.86mm
889.83mm -530.11mm 3002.11mm
888.78mm -529.49mm 2991.76mm
885.01mm -527.1mm 2979.7mm
879.39mm -525.38mm 2967.66mm
879.55mm -528.4mm 2966.1mm
879.75mm -532.05mm 2959.7mm
880.49mm -534.9mm 2956.45mm
881.7mm -538.69mm 2952.64mm
881.67mm -540.65mm 2948.7mm
881.71mm -543.93mm 2946.23mm
881.92mm -545.91mm 2944.91mm
882.11mm -548.03mm 2936.99mm
881.47mm -548.79mm 2930.46mm
880.76mm -550.93mm 2930.72mm
882.33mm -556.45mm 2933.92mm
884.09mm -566.92mm 2929.19mm
882.96mm -568.37mm 2922.73mm
881.69mm -568.35mm 2917.16mm
878.78mm -568.77mm 2909.83mm
874.36mm -570mm 2898.58mm
874.93mm -571.87mm 2897.05mm
876.01mm -572.85mm 2894.39mm
877.73mm -575.27mm 2894.14mm
879.88mm -581.73mm 2892.22mm
876.95mm -584.48mm 2883.62mm
873mm -586.31mm 2873.37mm
874mm -587.87mm 2872.72mm
875.42mm -590.57mm 2871.01mm
875.47mm -591.49mm 2868.42mm
875.35mm -594.42mm 2865.18mm
874.83mm -597.19mm 2862.15mm
874.25mm -598.28mm 2852.6mm
874.82mm -597.15mm 2848.1mm
875.45mm -596.95mm 2841.14mm
873.86mm -598.72mm 2832.93mm
871.41mm -603.86mm 2827.02mm
872.12mm -611.72mm 2826.58mm
873.49mm -621.39mm 2826.22mm
874.13mm -624.17mm 2825.92mm
874.86mm -628.31mm 2820.17mm
875.26mm -630.61mm 2816.26mm
875.91mm -633.57mm 2809.97mm
875.22mm -634.3mm 2804.05mm
874.36mm -635.43mm 2799.2mm
873.28mm -637.03mm 2795.01mm
871.42mm -638.05mm 2778.88mm
871.54mm -638.88mm 2770.45mm
871.82mm -642.46mm 2766.86mm
871.02mm -644.1mm 2762.92mm
869.74mm -646.54mm 2755.34mm
868.57mm -648.18mm 2749.76mm
866.78mm -651.07mm 2741.91mm
867.43mm -653.63mm 2739.64mm
868.92mm -654.94mm 2738.53mm
868.39mm -655.5mm 2735.31mm
867.05mm -658.8mm 2726.94mm
866.36mm -661.89mm 2721.61mm
865.76mm -662.65mm 2710.16mm
866.76mm -663.96mm 2704.74mm
867.89mm -669.16mm 2699mm
865.57mm -668.91mm 2690.65mm
862.28mm -669.07mm 2682.91mm
862.29mm -672.79mm 2680.9mm
862.3mm -677.21mm 2674.27mm
862.75mm -679mm 2670.71mm
863.4mm -680.51mm 2661.6mm
863.93mm -683.08mm 2655.52mm
864.87mm -688.74mm 2653.97mm
864.77mm -690.86mm 2651.98mm
864.54mm -692.56mm 2643.47mm
864mm -693.05mm 2637.27mm
863.03mm -694.78mm 2628.01mm
861.43mm -695.89mm 2620.34mm
859.23mm -696.92mm 2610.24mm
860.79mm -698.81mm 2608.18mm
863.52mm -700.48mm 2608.09mm
863.12mm -701.61mm 2604.48mm
861.9mm -705.53mm 2594.94mm
861.02mm -707.59mm 2588.55mm
859.67mm -710.03mm 2576.77mm
858.8mm -711.03mm 2569.06mm
857.84mm -712.36mm 2562.5mm
857.92mm -714.79mm 2559.07mm
857.87mm -717mm 2547.08mm
858.4mm -717.11mm 2540.18mm
859.28mm -719.24mm 2536.57mm
858.98mm -722.11mm 2532.64mm
858.32mm -726.12mm 2522.7mm
858.76mm -729.39mm 2517.38mm
859.82mm -735.1mm 2517.04mm
858.08mm -735.07mm 2513.54mm
855.3mm -732.67mm 2499.43mm
854.67mm -731.25mm 2491.89mm
853.6mm -729.81mm 2481.05mm
858.17mm -734.04mm 2481.24mm
865.36mm -740mm 2484.49mm
851.22mm -723.1mm 2460.27mm
830.49mm -698.47mm 2424.67mm
833.15mm -698.72mm 2424.24mm
836.64mm -699.1mm 2418.11mm
833.05mm -698.75mm 2405.69mm
827.99mm -697.3mm 2387.38mm
828.11mm -697.23mm 2380.11mm
828.79mm -699.64mm 2382.1mm
831.3mm -703.84mm 2386.34mm
833.9mm -708.31mm 2374.28mm
831.04mm -707.83mm 2359.85mm
822.82mm -708.57mm 2342.86mm
